cep,logradouro,complemento,unidade,bairro,localidade,uf,estado,região,ibge,gia,ddd,siafi
57312-258,Rua São José,de 802 ao fim - lado par,,Alto do Cruzeiro,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-774,Rua Josefa Josenilda da Silva,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-776,Rua Iraci Nunes de Brito,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-183,Rua João Soares da SIlva,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-418,Rua Judite Soares da Silva,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-786,Rua Miguel Vieira da Silva,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-050,Rua Manoel Procópio de Oliveira,,,Deputado Nezinho,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-083,Rua João Lima de Brito,,,Deputado Nezinho,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-084,Rua João Ferreira de Macêdo,,,Deputado Nezinho,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-085,Rua João Gomes de Oliveira,,,Deputado Nezinho,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-087,Rua Francisca Luiz dos Santos,,,Deputado Nezinho,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-086,Rua Josefa Antônia do Nascimento,,,Deputado Nezinho,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-088,Rua Monsenhor Aldo de Melo Brandão,,,Deputado Nezinho,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-304,Rua Calmina Izabel do Espírito Santo,(Res Casa Bela) - de 101 ao fim - la,,Alazão,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-560,Rua Luiz José de Lira,,,Batingas,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-092,Rua Menino Pietro Pereira Sambinelli,,,Deputado Nezinho,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-312,Rua Vicentina Izabel do Espírito Santo,(Res Casa Bela) - lado ímpar,,Alazão,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-291,Rodovia AL-110,lado par,,Deputado Nezinho,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-091,Rua Monsenhor Raimundo Gomes Nascimento,,,Deputado Nezinho,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-558,Rua Luiz Firmino de Oliveira,,,Batingas,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-090,Rua Maria Cristina da Silva Estevam,,,Deputado Nezinho,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-561,Rua José Pedro da Silva,,,Batingas,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-504,Rua Olímpio Carvalho da Paixão,,,Batingas,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-098,Rua Lígia Ferreira Silva,,,Deputado Nezinho,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-306,Rua Terezinha Isabel Almeida de Oliveira,de 130/131 ao fim,,Alazão,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-308,Rua Ivoneide Izabel Araújo de Almeida,(Res Casa Bela) - lado ímpar,,Alazão,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-502,Rua Estudante Isaelle Cristine dos Anjos Souza,,,Batingas,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-302,Rua Antônio Mizael,,,Alazão,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-093,Rua Florisval Ezequiel dos Santos,,,Deputado Nezinho,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-557,Rua Francisco Fernando de Oliveira,(Lot S Luiz III),,Batingas,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-559,Rua Luiz Martins de Oliveira,,,Batingas,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-089,Rua Músico Ronaldo Resende da Silva,,,Deputado Nezinho,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-562,Rua José Galdino dos Santos,,,Batingas,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-310,Rua Marizete Almeida de Oliveira,,,Alazão,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-096,Rua Comunidade Cristo de Betânea,,,Deputado Nezinho,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-101,Avenida Rotary,,,Deputado Nezinho,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-554,Rodovia AL-110,lado par,,Batingas,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-314,Rua Olímpio Carvalho da Paixão,,,Alazão,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-581,Rua Princesa Izabel,(Lot N Sra do Socorro),,Batingas,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-583,Rua Miguel Araújo de Lima,(Lot N Sra do Socorro),,Batingas,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-582,Rua Manoel Gomes da Silva,(Lot N Sra do Socorro),,Batingas,Arapiraca,AL,Alagoas,,2700300,,82,2705
57318-150,,,,Baixa da Onça,Arapiraca,AL,Alagoas,,2700300,,82,2705
57318-650,,,,Cajarana,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-584,Rua Marinita Gomes de Lima,(Lot N Sra do Socorro),,Batingas,Arapiraca,AL,Alagoas,,2700300,,82,2705
57318-350,,,,Bálsamo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57318-550,,,,Bom Jardim,Arapiraca,AL,Alagoas,,2700300,,82,2705
57318-750,,,,Canaã,Arapiraca,AL,Alagoas,,2700300,,82,2705
57600-055,Rua Dom Bôsco,,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57318-250,,,,Baixa do Capim,Arapiraca,AL,Alagoas,,2700300,,82,2705
57318-450,,,,Bananeiras,Arapiraca,AL,Alagoas,,2700300,,82,2705
57600-225,Rua Marujo Ferreira de Castro,lado ímpar,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-105,Rua Professor Guedes de Miranda,lado ímpar,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-325,Rua Sebastião Ramos,lado par,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-215,Rua Clodoaldo da Fonseca,até 159/160,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-395,Rua Mariano de Freitas,lado ímpar,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-405,Rua Pedro Barbosa,até 151 - lado ímpar,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-727,Rua Dom Armando Lombardi,lado par,,Alto do Cruzeiro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57601-306,Avenida Maria Luísa Marques de Albuquerque,(Lot A Cícero),,São Cristóvão,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-425,Travessa Capitulino Vasconcelos,,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-565,Rua Manoel Gomes da Silva,lado par,,Alto do Cruzeiro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-465,Rua Idalino Araújo,lado ímpar,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-728,Rua Gabino Besouro,,,Alto do Cruzeiro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57601-123,Avenida Muniz Falcão,,,São Cristóvão,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-665,Travessa Dezesseis de Setembro,,,Alto do Cruzeiro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-726,Rua Leopoldo Duarte,,,Alto do Cruzeiro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57601-308,Avenida João Batista Melo de Abreu,,,São Cristóvão,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57601-312,Avenida Mercedes Marques de Albuquerque Oliveira,(Lot A Cícero),,São Cristóvão,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57601-317,Rua Doutor Villene Cavalcante de Araújo Filho,(Lot A Cícero),,São Cristóvão,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57601-425,Avenida Brasília,até 67/68,,São Cristóvão,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57602-055,Rua Luiz Pinto de Andrade,lado ímpar,,Paraíso,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57602-135,Rua João Florentino dos Santos,(João Canfinfa),,Paraíso,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57602-491,Rua Francisco Tenório Cavalcante,,,José Maia Costa,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57602-345,Rua Francisco Moura,,,São Francisco,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57602-185,Rua Sebastião Ramos,lado ímpar,,São Luiz,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57602-325,Rua Mestre Jaú,,,São Francisco,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57603-138,Rua Sebastião Ramos,lado ímpar,,Juca Sampaio,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57603-112,Rua Francisco Ferreira Barbosa,de 339 ao fim - lado ímpar,,Juca Sampaio,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57602-645,Rua Clodoaldo da Fonseca,de 161 a 209 - lado ímpar,,Ribeira,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-024,Rua José Ferreira da Costa,(Zé do Né),,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57602-334,Rua Osório Horácio,,,São Francisco,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57602-155,Rua Sinval Rodrigues Gaia,,,Paraíso,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57602-465,Rua Tabelião Luiz F de Barros,,,São Francisco,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-028,Rua Maria Mozarina Rodrigues Brasileiro,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57602-501,Rua Genésio Moreira,de 690/691 ao fim,,José Maia Costa,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57602-405,Rua Caracioly Soares,lado par,,São Francisco,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57602-195,Avenida Graciliano Ramos,lado par,,São Luiz,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57602-175,Travessa Sebastião Ramos,,,São Luiz,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-026,Rua Marcos de Moura Pereira,(Sd Moura),,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-032,Rua Miguel Domingos da Silva,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-040,Rua Senhorinha Targino Costa,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-034,Rua Marinita Oliveira Barbosa,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-042,Rua Vereador Luiz Alberto de Barros,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-036,Rua Patrícia Gisele da Silva Paulo,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-046,Rua Doutor Victor Medeiros,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-048,Rua Iracema Carolina da Rocha,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-044,Rua Antônio Correia Nunes,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-052,Rua Belmiro Pereira do Nascimento,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-050,Rua Valter de Brito Cavalcante,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-054,Rua Antonio Barbosa da Costa,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-056,Rua Gilvan Gomes da Silva,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-058,Rua Nazaré Francisca da Costa Santos,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-097,Rua Maria José Calheiros,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-095,Rua José Calixto de Oliveira,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-096,Rua Maria Bezerra da Silva,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-066,Rua Antonio Salustiano da Silva,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-084,Rua Diego de Santana Florêncio,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-082,Rua Santino Martiniano da Silva,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-088,Rua Olimpio José de Barros,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-060,Rua Wellington Oliveira da Silva,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-080,Rua Oswaldo Pedro Pereira de Moraes,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-064,Rua Leonardo Inácio de Albuquerque,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-072,Rua Bernadete Bezerra de Araújo,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-092,Rua Gilma Ferreira da Silva,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-068,Rua José Calheiros Sobrinho,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-078,Rua Tadeu Fonseca da Silva,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-074,Rua Cicero Serafim Gomes,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-062,Rua Edilene Torres de Melo,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-108,Rua Monsenhor Odilon Amador dos Santos,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-104,Rua Gastão Leão,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-086,Rua Severino Evangelista de Santana,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-070,Rua Romero Sousa da Silva,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-106,Rua Expedito Reinaldo Barros de Oliveira,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-076,Rua Lindoarte Soares Costa,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-090,Rua Maria Aparecida Ramos da Silva,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-098,Rua Dom Fernando Iório Rodrigues,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-094,Rua Maria da Dores da Silva,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-112,Rua Ailton Leonardo de Melo,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-116,Rua Antônio Basílio da Costa,(Lot Pq das Palmeiras),,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-118,Rua Eraldo dos Santos,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-122,Rua João José da Silva,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-127,Rua Luiz Gomes de Oliveira,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-132,Rua Francisco Azarias de Oliveira,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-134,Rua Antonio Salustiano Rodrigues,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57605-008,Rua Sinval Rodrigues Gaia,,,Xucurus,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-581,Rua Luiz José Soares Leite,(Neno leite),,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-252,Rua Engenheiro Carlos Eduardo Sarmento Coutrim,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-262,Rua Antônio Vitório,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-577,Rua Gilsa Ávila Ramos,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-591,Rua José Dantas Bezerra,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-585,Rua Ivan Ferraz Freitas,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-579,Rua José Ávila Canuto,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-256,Rua Doutora Maria Betania Teixeira Bezerra,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-258,Rua Vereador José Tenório de Albuquerque,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-254,Rua Maria de Lourdes Ribeiro Monteiro,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-264,Rua Promotor Altamir Monteiro,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-589,Rua Fernando Ferreira da Silva,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-593,Rua Albérico Souza Soares,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57605-013,Rua Clodoaldo da Fonseca,de 211 ao fim - lado ímpar,,Xucurus,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57605-045,Travessa Sebastião Gonçalves,,,Xucurus,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57605-002,Rua Clarindo Amorim,lado par,,Xucurus,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-274,Rua Sebastião Alexandre Soares,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-260,Rua Wilson Vitório,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-268,Rua Manoel Pereira da Fonseca,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57605-006,Rua Leobino Mota,,,Xucurus,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-266,Rua Napolião Oliveira Ferro,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-250,Rua Pedro Limeira,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-272,Avenida Aurélio Alves Brasileiro,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-583,Rua José Maria de Barros,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57605-004,Rua Sebastião Medeiros,,,Xucurus,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-575,Rua Sizinanda Martins da Costa,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57604-587,Rua Beneval Vieira Costa,,,Graciliano Ramos,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57605-047,Rua Engenheiro José da Rocha Leite,,,Xucurus,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57605-055,Rua João Roque,,,Xucurus,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-002,Rua Tenente Júlio Amorim,de 321/322 ao fim,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-003,Rua Castelo Branco,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-005,Rua Manoel Leandro da Silva,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-009,Rua Fernando Costa Barros,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-008,Rua Pastor José Deodato da Silveira,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-012,Rua Antônio M. Freitas,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-092,2ª Travessa Direita,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-073,Rua Maria Palmira de Araújo Prado,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-025,Rua João Farias,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-013,Rua Antônio Costa Ferro,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-106,Rua Domázio Valério de Souza,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-006,Rua Manoel Armeira,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-288,Rua Mariano Correia da Silva,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-282,Rua Dalva Lourenço da SIlva,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-298,Rua Feirante Alice Maria dos Santos,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-296,Rua Sargento Geraldo Matias dos Santos,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-065,Rua Antônio Gaudino dos Santos,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-067,Travessa Antônio Gaudino dos Santos,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-280,Avenida Caminhoneiro David Muniz de Almeida,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-286,Rua Aracy Ferreira de Lima,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-007,Rua Antonio Barbosa da Silva,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-102,Rua Francisco Padilha de Souza,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-294,Rua Empresário Kenned Mitomari,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-104,Rua Pedro Bispo Dantas,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-016,Rua Eugênio Rodrigues de Oliveira,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-011,Rua José Firmino,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-292,Rua da Caridade Maria Teresa Moura,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-284,Avenida Tabeliã Ivonete Gaia Duarte,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-290,Rua Floriano Julião de Oliveira,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-300,Rua Taxista Gilson de Holanda Ferro,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-302,Rua Vereador Sid Carlos Alves de Melo,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-304,Rua Contabilista Denyse Maria Tavares Santos,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-306,Rua Salvador,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57606-309,Rua Florianópolis,,,Sonho Verde,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-243,Rua Quinze de Novembro,,,Jardim Brasil,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-265,Travessa Ezequiel Pereira,,,Jardim Brasil,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-302,Rua Doutora Aline Ana Leal,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-310,Rua Frederico Osana,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-371,Travessa Joaquim Ferreira de Queiroz,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-372,Rua Emílio Tenório,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-374,Rua Antonio Aufrásio,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-373,Rua Fernando de Noronha,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-477,Rua Jerusalém,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-376,Travessa José Alves Bezerra,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-485,Rua Brasil Novo,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-378,Rua Joaquim Ferreira de Queiroz,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-545,Rua Anita Simões,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-495,Travessa Nova Jerusalem,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-652,Travessa Vereador Rui Guimarães Costa,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-562,Travessa Julio Amorim,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-558,Rua Dionizio José das Neves,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-645,Travessa Otávio Barbosa,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-564,Rua José Soares Vilarins,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-675,Travessa Vereador Pajeú,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-658,Rua João Paulo Feitosa,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-656,3ª Travessa Zuleide Gaia,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-654,2ª Travessa Zuleide Gaia,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-683,Rua Amapá,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-659,Rua José Correia da SIlva,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57607-685,Rua Rondônia,,,Vila Maria,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
