cep,logradouro,complemento,unidade,bairro,localidade,uf,estado,região,ibge,gia,ddd,siafi
57010-792,Rua Osman Tenório Araújo,(Cj Virgem dos Pobres II),,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-795,Rua K,(Cj Virgem dos Pobres II),,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-796,Rua C,(Cj Virgem dos Pobres III),,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-864,2ª Rua Alto da Floresta,,,Pontal da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-820,Rua Campus Tamandaré,,,Pontal da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-810,Avenida Alípio Barbosa da Silva,,,Pontal da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-859,3ª Travessa Santa Helena,,,Pontal da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-790,Avenida General Alacir Werner,(Cj Virgem dos Pobres II),,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-860,Rua Santa Helena,,,Pontal da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-872,Rua São Sebastião,,,Pontal da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-799,Rua F,(Cj Virgem dos Pobres II),,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-856,1ª Travessa Santa Helena,,,Pontal da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-800,Avenida Assis Chateaubriand,de 5260/5261 ao fim,,Pontal da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-850,Rua Ernandes Bastos,,,Pontal da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-874,1ª Travessa São Sebastião,(Projetada 653),,Pontal da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-788,Rua N,(Cj Virgem dos Pobres II),,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-830,Praça Doutor Caio Aguiar Porto,,,Pontal da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-876,2ª Travessa São Sebastião,,,Pontal da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57014-202,Travessa Porto Calvo,,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-008,Rua Professor Paulo Senouillet,até 215/216,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57010-900,Avenida Assis Chateaubriand,5260,BRASKEM,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-882,Rua Alto da Boa Vista,,,Pontal da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57014-110,Rua da Sementeira,,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-170,Rua José Ferreira de Araújo,,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-040,Conjunto Cardoso da Silva,,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57010-970,Rua Agnelo Barbosa,612,CDD Mundaú,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57014-072,Rua Marquês de Pombal,de 245 ao fim - lado ímpar,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-000,Rua Formosa,de 1323/1324 ao fim,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
